Tarih;Gün;Davet Edilen Aday Sayısı;Teyit Veren Aday Sayısı;Teyit Vermeyen Aday Sayısı;Teyit Verme Oranı;Sınava Katılan Aday Sayısı;Katılım Oranı;Sınav Doluluk Oranı
7112022;Monday;62;45;5;0,73;35;77,78;0,78
8112022;Tuesday;57;45;1;0,79;36;80;0,8
9112022;Wednesday;52;44;1;0,85;42;95,45;0,93
10112022;Thursday;48;43;2;0,9;41;95,35;0,91
11112022;Friday;50;43;3;0,86;43;100;0,96
14112022;Monday;51;42;3;0,82;39;92,86;0,87
15112022;Tuesday;50;44;1;0,88;40;90,91;0,89
16112022;Wednesday;60;45;8;0,75;38;84,44;0,84
17112022;Thursday;48;43;2;0,9;41;95,35;0,91
18112022;Friday;48;44;1;0,92;39;88,64;0,87
21112022;Monday;55;45;2;0,82;34;75,56;0,76
22112022;Tuesday;47;42;3;0,89;38;90,48;0,84
23112022;Wednesday;46;43;2;0,93;25;58,14;0,56
24112022;Thursday;46;45;0;0,98;38;84,44;0,84
25112022;Friday;46;41;4;0,89;39;95,12;0,87
28112022;Monday;69;36;19;0,52;24;66,67;0,53
29112022;Tuesday;61;40;12;0,66;24;60;0,53
30112022;Wednesday;46;45;0;0,98;39;86,67;0,87
1122022;Thursday;70;45;11;0,64;26;57,78;0,58
2122022;Friday;48;42;4;0,88;33;78,57;0,73
5122022;Monday;57;46;2;0,81;32;69,57;0,71
6122022;Tuesday;64;39;19;0,61;29;74,36;0,64
7122022;Wednesday;47;44;1;0,94;42;95,45;0,93
8122022;Thursday;47;36;4;0,77;26;72,22;0,58
9122022;Friday;46;41;2;0,89;40;97,56;0,89
12122022;Monday;57;52;6;0,91;37;71,15;0,82
14122022;Wednesday;55;45;5;0,82;32;71,11;0,71
15122022;Thursday;45;41;4;0,91;35;85,37;0,78
16122022;Friday;46;43;3;0,93;37;86,05;0,82
19122022;Monday;71;40;25;0,56;29;72,5;0,64
20122022;Tuesday;66;42;16;0,64;35;83,33;0,78
21122022;Wednesday;47;41;3;0,87;36;87,8;0,8
22122022;Thursday;63;47;7;0,75;37;78,72;0,82
23122022;Friday;47;44;2;0,94;37;84,09;0,82
26122022;Monday;69;43;18;0,62;34;79,07;0,76
27122022;Tuesday;51;43;2;0,84;39;90,7;0,87
28122022;Wednesday;60;45;9;0,75;27;60;0,6
29122022;Thursday;50;44;1;0,88;39;88,64;0,87
30122022;Friday;48;45;0;0,94;40;88,89;0,89
2012023;Monday;56;47;1;0,84;33;70,21;0,73
3012023;Tuesday;47;44;2;0,94;37;84,09;0,82
4012023;Wednesday;60;45;7;0,75;29;64,44;0,64
5012023;Thursday;53;45;4;0,85;36;80;0,8
6012023;Friday;49;43;2;0,88;38;88,37;0,84
9012023;Monday;67;40;22;0,6;30;75;0,67
10012023;Tuesday;56;44;7;0,79;31;70,45;0,69
11012023;Wednesday;69;47;17;0,68;33;70,21;0,73
12012023;Thursday;48;42;4;0,88;33;78,57;0,73
13012023;Friday;47;45;2;0,96;39;86,67;0,87
16012023;Monday;50;33;12;0,66;24;72,73;0,53
17012023;Tuesday;61;41;10;0,67;27;65,85;0,6
18012023;Wednesday;47;42;2;0,89;39;92,86;0,87
19012023;Thursday;59;44;9;0,75;30;68,18;0,67
20012023;Friday;46;43;3;0,93;41;95,35;0,91
23012023;Monday;68;38;24;0,56;27;71,05;0,6
24012023;Tuesday;63;47;11;0,75;30;63,83;0,67
25012023;Wednesday;46;41;5;0,89;37;90,24;0,82
26012023;Thursday;59;47;8;0,8;34;72,34;0,76
27012023;Friday;48;44;3;0,92;38;86,36;0,84
30012023;Monday;70;37;22;0,53;23;62,16;0,51
31012023;Tuesday;51;44;3;0,86;35;79,55;0,78
1022023;Wednesday;63;46;10;0,73;34;73,91;0,76
2022023;Thursday;52;46;0;0,88;37;80,43;0,82
3022023;Friday;46;45;1;0,98;40;88,89;0,89
6022023;Monday;71;27;18;0,38;10;37,04;0,22
7022023;Tuesday;52;19;26;0,37;15;78,95;0,33
8022023;Wednesday;49;9;44;0,18;9;100;0,2
9022023;Thursday;74;37;9;0,5;15;40,54;0,33
10022023;Friday;49;15;31;0,31;15;100;0,33
13022023;Monday;53;36;8;0,68;12;33,33;0,27
15022023;Wednesday;60;10;18;0,17;8;80;0,18
16022023;Thursday;55;44;4;0,8;38;86,36;0,84
17022023;Friday;47;38;9;0,81;35;92,11;0,78
20022023;Monday;67;42;15;0,63;23;54,76;0,51
21022023;Tuesday;64;37;18;0,58;25;67,57;0,56
22022023;Wednesday;54;44;4;0,81;35;79,55;0,78
23022023;Thursday;80;47;24;0,59;30;63,83;0,67
24022023;Friday;62;46;9;0,74;41;89,13;0,91
27022023;Monday;59;47;8;0,8;30;63,83;0,67
28022023;Tuesday;71;44;19;0,62;21;47,73;0,47
1032023;Wednesday;49;45;1;0,92;33;73,33;0,73
2032023;Thursday;75;47;14;0,63;25;53,19;0,56
3032023;Friday;62;47;6;0,76;28;59,57;0,62
6032023;Monday;75;47;21;0,63;23;48,94;0,51
7032023;Tuesday;61;45;12;0,74;28;62,22;0,62
8032023;Wednesday;50;46;3;0,92;42;91,3;0,93
9032023;Thursday;71;44;21;0,62;30;68,18;0,67
10032023;Friday;48;44;3;0,92;35;79,55;0,78
13032023;Monday;70;47;15;0,67;37;78,72;0,82
14032023;Tuesday;69;47;17;0,68;29;61,7;0,64
15032023;Wednesday;55;49;0;0,89;38;77,55;0,84
16032023;Thursday;50;46;2;0,92;42;91,3;0,93
17032023;Friday;62;46;7;0,74;28;60,87;0,62
20032023;Monday;50;47;1;0,94;41;87,23;0,91
21032023;Tuesday;68;48;13;0,71;35;72,92;0,78
22032023;Wednesday;55;48;1;0,87;33;68,75;0,73
23032023;Thursday;50;47;1;0,94;36;76,6;0,8
24032023;Friday;50;45;0;0,9;38;84,44;0,84
27032023;Monday;73;35;31;0,48;21;60;0,47
28032023;Tuesday;77;41;27;0,53;28;68,29;0,62
29032023;Wednesday;59;49;6;0,83;40;81,63;0,89
30032023;Thursday;53;47;2;0,89;34;72,34;0,76
31032023;Friday;79;33;42;0,42;18;54,55;0,4
3042023;Monday;50;47;1;0,94;41;87,23;0,91
4042023;Tuesday;58;44;5;0,76;23;52,27;0,51
22052023;Monday;19;19;0;1;19;100;0,42
25052023;Thursday;68;45;13;0,66;20;44,44;0,44
29052023;Monday;63;45;12;0,71;22;48,89;0,49
31052023;Wednesday;54;45;6;0,83;27;60;0,6
1062023;Thursday;48;42;2;0,88;22;52,38;0,49
12062023;Monday;53;43;3;0,81;30;69,77;0,67
13062023;Tuesday;66;38;16;0,58;22;57,89;0,49
14062023;Wednesday;49;44;2;0,9;40;90,91;0,89
15062023;Thursday;75;42;17;0,56;20;47,62;0,44
16062023;Friday;66;48;13;0,73;33;68,75;0,73
19062023;Monday;48;45;3;0,94;31;68,89;0,69
3072023;Monday;60;44;9;0,73;25;56,82;0,56
5072023;Wednesday;58;47;3;0,81;33;70,21;0,73
6072023;Thursday;49;44;3;0,9;40;90,91;0,89
7072023;Friday;52;45;1;0,87;28;62,22;0,62
10072023;Monday;48;43;4;0,9;37;86,05;0,82
12072023;Wednesday;51;46;3;0,9;35;76,09;0,78
13072023;Thursday;50;46;0;0,92;36;78,26;0,8
14072023;Friday;50;46;1;0,92;34;73,91;0,76
17072023;Monday;54;46;7;0,85;33;71,74;0,73
18072023;Tuesday;58;45;2;0,78;23;51,11;0,51
19072023;Wednesday;19;19;0;1;18;94,74;0,4
20072023;Thursday;50;41;5;0,82;33;80,49;0,73
21072023;Friday;48;44;2;0,92;34;77,27;0,76
24072023;Monday;48;44;3;0,92;39;88,64;0,87
26072023;Wednesday;71;46;14;0,65;22;47,83;0,49
28072023;Friday;61;46;7;0,75;28;60,87;0,62
31072023;Monday;59;47;9;0,8;36;76,6;0,8
1082023;Tuesday;64;44;6;0,69;26;59,09;0,58
2082023;Wednesday;50;46;1;0,92;39;84,78;0,87
3082023;Thursday;49;46;0;0,94;37;80,43;0,82
4082023;Friday;48;45;2;0,94;36;80;0,8
7082023;Monday;57;47;7;0,82;37;78,72;0,82
8082023;Tuesday;62;46;12;0,74;31;67,39;0,69
9082023;Wednesday;57;46;15;0,81;37;80,43;0,82
10082023;Thursday;50;44;3;0,88;36;81,82;0,8
11082023;Friday;48;44;3;0,92;32;72,73;0,71
14082023;Monday;48;44;3;0,92;32;72,73;0,71
22082023;Tuesday;73;46;16;0,63;25;54,35;0,56
23082023;Wednesday;67;46;16;0,69;28;60,87;0,62
24082023;Thursday;63;46;7;0,73;30;65,22;0,67
25082023;Friday;52;49;0;0,94;37;75,51;0,82
28082023;Monday;49;42;7;0,86;39;92,86;0,87
29082023;Tuesday;48;45;2;0,94;39;86,67;0,87
31082023;Thursday;20;17;3;0,85;15;88,24;0,33
1092023;Friday;58;46;1;0,79;33;71,74;0,73
4092023;Monday;57;47;3;0,82;37;78,72;0,82
5092023;Tuesday;51;43;5;0,84;38;88,37;0,84
6092023;Wednesday;49;46;2;0,94;37;80,43;0,82
7092023;Thursday;48;47;0;0,98;36;76,6;0,8
8092023;Friday;48;46;3;0,96;39;84,78;0,87
11092023;Monday;65;48;3;0,74;30;62,5;0,67
12092023;Tuesday;70;44;10;0,63;32;72,73;0,71
13092023;Wednesday;48;45;1;0,94;38;84,44;0,84
14092023;Thursday;49;46;0;0,94;40;86,96;0,89
15092023;Friday;48;41;5;0,85;33;80,49;0,73
18092023;Monday;68;46;6;0,68;27;58,7;0,6
19092023;Tuesday;77;48;11;0,62;21;43,75;0,47
20092023;Wednesday;52;39;8;0,75;21;53,85;0,47
21092023;Thursday;50;45;5;0,9;35;77,78;0,78
22092023;Friday;50;46;3;0,92;34;73,91;0,76
25092023;Monday;67;48;5;0,72;22;45,83;0,49
26092023;Tuesday;76;48;12;0,63;16;33,33;0,36
27092023;Wednesday;62;48;4;0,77;24;50;0,53
28092023;Thursday;49;46;2;0,94;26;56,52;0,58
29092023;Friday;54;49;1;0,91;32;65,31;0,71
2102023;Monday;55;47;1;0,85;27;57,45;0,6
3102023;Tuesday;73;46;20;0,63;19;41,3;0,42
4102023;Wednesday;62;48;7;0,77;30;62,5;0,67
5102023;Thursday;48;44;4;0,92;31;70,45;0,69
6102023;Friday;50;45;3;0,9;31;68,89;0,69
9102023;Monday;72;48;18;0,67;21;43,75;0,47
10102023;Tuesday;82;48;27;0,59;17;35,42;0,38
11102023;Wednesday;64;48;8;0,75;30;62,5;0,67
12102023;Thursday;52;48;0;0,92;30;62,5;0,67
13102023;Friday;59;47;3;0,8;24;51,06;0,53
16102023;Monday;75;49;22;0,65;29;59,18;0,64
17102023;Tuesday;89;51;26;0,57;19;37,25;0,42
18102023;Wednesday;64;52;2;0,81;30;57,69;0,67
19102023;Thursday;59;48;5;0,81;32;66,67;0,71
13112023;Monday;59;51;4;0,86;23;45,1;0,51
14112023;Tuesday;78;49;23;0,63;19;38,78;0,42
15112023;Wednesday;66;48;10;0,73;20;41,67;0,44
16112023;Thursday;54;48;1;0,89;25;52,08;0,56
17112023;Friday;55;49;1;0,89;32;65,31;0,71
20112023;Monday;60;50;7;0,83;26;52;0,58
21112023;Tuesday;85;50;23;0,59;17;34;0,38
22112023;Wednesday;56;48;2;0,86;27;56,25;0,6
23112023;Thursday;58;50;1;0,86;23;46;0,51
24112023;Friday;58;51;3;0,88;32;62,75;0,71
27112023;Monday;19;19;0;1;16;84,21;0,36
28112023;Tuesday;74;51;14;0,69;22;43,14;0,49
29112023;Wednesday;65;50;8;0,77;31;62;0,69
30112023;Thursday;63;50;5;0,79;29;58;0,64
4122023;Monday;58;50;2;0,86;27;54;0,6
5122023;Tuesday;52;48;2;0,92;27;56,25;0,6
6122023;Wednesday;65;50;5;0,77;18;36;0,4
7122023;Thursday;73;51;16;0,7;24;47,06;0,53
11122023;Monday;63;48;3;0,76;26;54,17;0,58
12122023;Tuesday;57;50;5;0,88;29;58;0,64
13122023;Wednesday;56;50;6;0,89;28;56;0,62
14122023;Thursday;60;51;7;0,85;26;50,98;0,58
18122023;Monday;67;52;8;0,78;29;55,77;0,64
19122023;Tuesday;86;52;23;0,6;21;40,38;0,47
20122023;Wednesday;62;52;3;0,84;29;55,77;0,64
21122023;Thursday;57;42;10;0,74;31;73,81;0,69
25122023;Monday;55;51;2;0,93;41;80,39;0,91
26122023;Tuesday;82;49;15;0,6;18;36,73;0,4
27122023;Wednesday;65;53;6;0,82;28;52,83;0,62
28122023;Thursday;52;46;6;0,88;41;89,13;0,91
29122023;Friday;10;10;0;1;10;100;0,22
2012024;Tuesday;84;54;21;0,64;31;57,41;0,69
3012024;Wednesday;102;54;35;0,53;25;46,3;0,56
4012024;Thursday;65;56;1;0,86;43;76,79;0,96
8012024;Monday;66;51;9;0,77;40;78,43;0,89
9012024;Tuesday;70;59;6;0,84;41;69,49;0,91
10012024;Wednesday;63;55;4;0,87;37;67,27;0,82
11012024;Thursday;63;58;1;0,92;39;67,24;0,87
13012024;Saturday;60;55;1;0,92;32;58,18;0,71
15012024;Monday;78;59;6;0,76;35;59,32;0,78
16012024;Tuesday;79;55;12;0,7;26;47,27;0,58
17012024;Wednesday;60;56;0;0,93;41;73,21;0,91
18012024;Thursday;60;56;1;0,93;38;67,86;0,84
22012024;Monday;71;58;6;0,82;37;63,79;0,82
23012024;Tuesday;85;59;13;0,69;25;42,37;0,56
24012024;Wednesday;78;58;8;0,74;29;50;0,64
25012024;Thursday;61;57;1;0,93;43;75,44;0,96
27012024;Saturday;59;54;3;0,92;32;59,26;0,71
29012024;Monday;61;52;6;0,85;36;69,23;0,8
30012024;Tuesday;66;59;3;0,89;38;64,41;0,84
31012024;Wednesday;61;56;1;0,92;40;71,43;0,89
1022024;Thursday;93;54;24;0,58;23;42,59;0,51
5022024;Monday;82;61;12;0,74;38;62,3;0,84
6022024;Tuesday;69;59;2;0,86;40;67,8;0,89
7022024;Wednesday;61;57;1;0,93;38;66,67;0,84
8022024;Thursday;62;54;4;0,87;39;72,22;0,87
10022024;Saturday;81;61;7;0,75;39;63,93;0,87
12022024;Monday;65;60;0;0,92;41;68,33;0,91
13022024;Tuesday;60;52;7;0,87;38;73,08;0,84
19022024;Monday;98;64;26;0,65;29;45,31;0,64
20022024;Tuesday;94;64;21;0,68;28;43,75;0,62
21022024;Wednesday;72;48;17;0,67;22;45,83;0,49
22022024;Thursday;65;60;1;0,92;41;68,33;0,91
24022024;Saturday;67;61;3;0,91;42;68,85;0,93
26022024;Monday;88;63;12;0,72;32;50,79;0,71
27022024;Tuesday;105;62;33;0,59;27;43,55;0,6
28022024;Wednesday;67;58;2;0,87;42;72,41;0,93
29022024;Thursday;70;64;0;0,91;40;62,5;0,89
4032024;Monday;100;69;18;0,69;33;47,83;0,73
5032024;Tuesday;130;78;29;0,6;37;47,44;0,82
6032024;Wednesday;71;61;3;0,86;41;67,21;0,91
7032024;Thursday;72;62;3;0,86;43;69,35;0,96
8032024;Friday;73;65;3;0,89;40;61,54;0,89
11032024;Monday;80;64;7;0,8;25;39,06;0,56
12032024;Tuesday;80;56;15;0,7;14;25;0,31
13032024;Wednesday;65;56;4;0,86;23;41,07;0,51
14032024;Thursday;65;55;9;0,85;45;81,82;1
15032024;Friday;70;63;2;0,9;40;63,49;0,89
25032024;Monday;134;55;13;0,41;32;58,18;0,71
26032024;Tuesday;129;47;20;0,36;32;68,09;0,71
27032024;Wednesday;110;66;0;0,6;41;62,12;0,91
28032024;Thursday;107;61;11;0,57;40;65,57;0,89
29032024;Friday;14;12;2;0,86;12;100;0,27
1042024;Monday;94;54;35;0,57;26;48,15;0,58
2042024;Tuesday;98;46;45;0,47;20;43,48;0,44
3042024;Wednesday;96;58;21;0,6;30;51,72;0,67
4042024;Thursday;74;63;3;0,85;34;53,97;0,76
15042024;Monday;70;62;7;0,89;40;64,52;0,89
16042024;Tuesday;70;64;2;0,91;35;54,69;0,78
17042024;Wednesday;70;64;2;0,91;33;51,56;0,73
18042024;Thursday;65;61;0;0,94;33;54,1;0,73
22042024;Monday;79;62;7;0,78;32;51,61;0,71
24042024;Wednesday;89;61;20;0,69;21;34,43;0,47
25042024;Thursday;70;63;0;0,9;32;50,79;0,71
29042024;Monday;69;63;2;0,91;32;50,79;0,71
30042024;Tuesday;70;62;3;0,89;25;40,32;0,56
13052024;Monday;81;62;13;0,77;39;62,9;0,87
14052024;Tuesday;111;53;50;0,48;23;43,4;0,51
15052024;Wednesday;95;63;26;0,66;31;49,21;0,69
16052024;Thursday;81;60;18;0,74;33;55;0,73
20052024;Monday;78;62;11;0,79;35;56,45;0,78
21052024;Tuesday;79;67;4;0,85;40;59,7;0,89
22052024;Wednesday;78;58;10;0,74;28;48,28;0,62
23052024;Thursday;80;70;1;0,88;32;45,71;0,71
27052024;Monday;80;66;9;0,83;37;56,06;0,82
28052024;Tuesday;115;59;47;0,51;33;55,93;0,73
29052024;Wednesday;77;65;6;0,84;42;64,62;0,93
30052024;Thursday;73;66;2;0,9;40;60,61;0,89
3062024;Monday;76;60;10;0,79;28;46,67;0,62
4062024;Tuesday;115;50;45;0,43;26;52;0,58
5062024;Wednesday;95;62;24;0,65;33;53,23;0,73
6062024;Thursday;88;63;5;0,72;28;44,44;0,62
10062024;Monday;70;64;5;0,91;43;67,19;0,96
11062024;Tuesday;75;67;1;0,89;35;52,24;0,78
12062024;Wednesday;69;60;4;0,87;39;65;0,87
13062024;Thursday;76;67;4;0,88;37;55,22;0,82
24062024;Monday;75;61;8;0,81;36;59,02;0,8
25062024;Tuesday;100;60;32;0,6;30;50;0,67
26062024;Wednesday;71;62;2;0,87;41;66,13;0,91
27062024;Thursday;70;67;1;0,96;44;65,67;0,98
1072024;Monday;38;37;0;0,97;31;83,78;0,69
2072024;Tuesday;95;65;21;0,68;37;56,92;0,82
3072024;Wednesday;95;63;24;0,66;31;49,21;0,69
4072024;Thursday;91;64;22;0,7;33;51,56;0,73
5072024;Friday;70;63;1;0,9;40;63,49;0,89
8072024;Monday;72;64;5;0,89;38;59,38;0,84
9072024;Tuesday;80;73;1;0,91;41;56,16;0,91
10072024;Wednesday;65;62;3;0,95;39;62,9;0,87
11072024;Thursday;65;62;3;0,95;41;66,13;0,91
12072024;Friday;65;64;2;0,98;44;68,75;0,98
13072024;Saturday;70;64;3;0,91;38;59,38;0,84
16072024;Tuesday;82;65;11;0,79;41;63,08;0,91
17072024;Wednesday;85;65;19;0,76;39;60;0,87
18072024;Thursday;72;66;3;0,92;32;48,48;0,71
19072024;Friday;71;64;1;0,9;41;64,06;0,91
20072024;Saturday;70;65;1;0,93;45;69,23;1
24072024;Wednesday;92;63;21;0,68;37;58,73;0,82
25072024;Thursday;80;60;13;0,75;45;75;1
29072024;Monday;95;52;23;0,55;24;46,15;0,53
30072024;Tuesday;100;43;40;0,43;20;46,51;0,44
31072024;Wednesday;90;59;17;0,66;30;50,85;0,67
1082024;Thursday;80;67;0;0,84;43;64,18;0,96
12082024;Monday;90;62;0;0,69;31;50;0,69
13082024;Tuesday;88;42;31;0,48;18;42,86;0,4
14082024;Wednesday;86;67;7;0,78;33;49,25;0,73
15082024;Thursday;65;57;5;0,88;38;66,67;0,84
16082024;Friday;93;61;20;0,66;38;62,3;0,84
19082024;Monday;95;50;36;0,53;24;48;0,53
20082024;Tuesday;96;46;33;0,48;20;43,48;0,44
21082024;Wednesday;95;63;16;0,66;30;47,62;0,67
22082024;Thursday;75;62;8;0,83;33;53,23;0,73
23082024;Friday;69;64;1;0,93;41;64,06;0,91
26082024;Monday;70;61;5;0,87;45;73,77;1
27082024;Tuesday;66;63;6;0,95;44;69,84;0,98
28082024;Wednesday;69;63;1;0,91;42;66,67;0,93
2092024;Monday;126;35;2;0,28;17;48,57;0,38
3092024;Tuesday;130;40;7;0,31;10;25;0,22
4092024;Wednesday;130;54;6;0,42;17;31,48;0,38
5092024;Thursday;120;58;3;0,48;31;53,45;0,69
6092024;Friday;98;67;18;0,68;45;67,16;1
9092024;Monday;99;67;27;0,68;36;53,73;0,8
10092024;Tuesday;100;67;24;0,67;27;40,3;0,6
11092024;Wednesday;85;74;0;0,87;41;55,41;0,91
12092024;Thursday;89;71;9;0,8;44;61,97;0,98
13092024;Friday;90;65;22;0,72;41;63,08;0,91
16092024;Monday;95;62;23;0,65;32;51,61;0,71
17092024;Tuesday;85;63;19;0,74;25;39,68;0,56
18092024;Wednesday;76;65;10;0,86;44;67,69;0,98
19092024;Thursday;67;64;1;0,96;42;65,63;0,93
20092024;Friday;78;69;0;0,88;42;60,87;0,93
23092024;Monday;65;46;16;0,71;21;45,65;0,47
24092024;Tuesday;65;64;0;0,98;39;60,94;0,87
26092024;Thursday;65;62;1;0,95;43;69,35;0,96
27092024;Friday;29;27;0;0,93;22;81,48;0,49
30092024;Monday;65;32;0;0,49;21;65,63;0,47
1102024;Tuesday;65;26;17;0,4;10;38,46;0,22
2102024;Wednesday;65;34;26;0,52;10;29,41;0,22
3102024;Thursday;65;47;16;0,72;22;46,81;0,49
4102024;Friday;65;57;7;0,88;32;56,14;0,71
7102024;Monday;65;61;3;0,94;43;70,49;0,96
8102024;Tuesday;65;61;2;0,94;39;63,93;0,87
9102024;Wednesday;65;63;2;0,97;44;69,84;0,98
10102024;Thursday;65;64;0;0,98;40;62,5;0,89
11102024;Friday;65;63;2;0,97;33;52,38;0,73
14102024;Monday;77;68;7;0,88;42;61,76;0,93
15102024;Tuesday;101;66;25;0,65;20;30,3;0,44
16102024;Wednesday;79;65;11;0,82;32;49,23;0,71
17102024;Thursday;70;65;1;0,93;37;56,92;0,82
18102024;Friday;69;64;1;0,93;42;65,63;0,93
25102024;Friday;90;65;18;0,72;27;41,54;0,6
30102024;Wednesday;80;65;8;0,81;40;61,54;0,89
4112024;Monday;84;65;14;0,77;36;55,38;0,8
5112024;Tuesday;84;65;14;0,77;38;58,46;0,84
6112024;Wednesday;68;65;1;0,96;41;63,08;0,91
8112024;Friday;73;61;0;0,84;32;52,46;0,71
11112024;Monday;70;61;4;0,87;20;32,79;0,44
12112024;Tuesday;75;62;8;0,83;28;45,16;0,62
13112024;Wednesday;65;56;8;0,86;43;76,79;0,96
18112024;Monday;85;69;12;0,81;35;50,72;0,78
19112024;Tuesday;95;63;28;0,66;25;39,68;0,56
20112024;Wednesday;70;65;5;0,93;34;52,31;0,76
21112024;Thursday;69;59;9;0,86;42;71,19;0,93
22112024;Friday;24;23;1;0,96;20;86,96;0,44
25112024;Monday;85;65;17;0,76;25;38,46;0,56
26112024;Tuesday;95;64;27;0,67;23;35,94;0,51
27112024;Wednesday;79;65;12;0,82;31;47,69;0,69
28112024;Thursday;66;65;1;0,98;40;61,54;0,89
29112024;Friday;65;62;3;0,95;41;66,13;0,91
2122024;Monday;85;66;9;0,78;34;51,52;0,76
3122024;Tuesday;107;69;30;0,64;23;33,33;0,51
4122024;Wednesday;93;70;23;0,75;35;50;0,78
5122024;Thursday;88;71;15;0,81;29;40,85;0,64
6122024;Friday;65;64;1;0,98;28;43,75;0,62
9122024;Monday;65;65;0;1;30;46,15;0,67
10122024;Tuesday;65;63;0;0,97;29;46,03;0,64
11122024;Wednesday;73;66;0;0,9;42;63,64;0,93
12122024;Thursday;72;67;0;0,93;41;61,19;0,91
13122024;Friday;75;71;2;0,95;31;43,66;0,69
16122024;Monday;96;69;25;0,72;30;43,48;0,67
17122024;Tuesday;133;69;63;0,52;31;44,93;0,69
18122024;Wednesday;123;71;53;0,58;35;49,3;0,78
19122024;Thursday;92;72;19;0,78;39;54,17;0,87
20122024;Friday;68;64;3;0,94;34;53,13;0,76
23122024;Monday;105;73;8;0,7;64;87,67;0,71
24122024;Tuesday;139;92;8;0,66;40;43,48;0,89
25122024;Wednesday;99;75;7;0,76;73;97,33;0,81
26122024;Thursday;94;81;8;0,86;89;109,88;0,99
27122024;Friday;94;90;14;0,96;82;91,11;0,91
